objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,effective_n,bigram_accuracy,mean_gap,mean_entropy,mean_energy,mean_top_score,cap_error_0_3,cap_error_0_5,cap_error_0_7,metastable_rate
next_token,memorization,4,,,64,3.0,0.15384615384615385,0.08007589590882648,0.2752434359154765,52,0.19230769230769232,0.07639379469821087,0.942434433561105,-1.650098667694972,0.8308837814972951,0.0,0.0,0.0,1.0
next_token,generalization,4,,,64,3.0,0.1,0.0434751239915711,0.21360490334788393,50,0.12,0.07629002869129181,0.9424216103553772,-1.6500990509986877,0.8310371279716492,0.0,0.0,0.0,1.0
masked_token,memorization,4,1,center,64,3.0,0.018867924528301886,0.0033383673867494,0.09943143501149411,53,0.05660377358490566,0.010635841567561312,0.9424182648928661,-1.6500988636376723,0.8310244308327729,0.0,0.0,0.0,1.0
masked_token,generalization,4,1,center,64,3.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,45,0.15555555555555556,0.010709209077888065,0.9424059987068176,-1.6500991450415716,0.8311649560928345,0.0,0.0,0.0,1.0
masked_token,memorization,4,1,edge,64,3.0,0.043478260869565216,0.012005193588830823,0.14532522919053417,46,0.1956521739130435,0.0033223950506552405,0.9424111350722935,-1.6500988395317742,0.8310531066811603,0.0,0.0,0.0,1.0
masked_token,generalization,4,1,edge,64,3.0,0.09615384615384616,0.041773735183410265,0.20609881861160995,52,0.21153846153846154,0.003267900373500127,0.942411869764328,-1.6500991330696986,0.831135324560679,0.0,0.0,0.0,1.0
masked_token,memorization,4,1,end,64,3.0,0.15384615384615385,0.08007589590882648,0.2752434359154765,52,0.19230769230769232,0.07633060517792518,0.9424266815185547,-1.6500988763112288,0.830975666642189,0.0,0.0,0.0,1.0
masked_token,generalization,4,1,end,64,3.0,0.1,0.0434751239915711,0.21360490334788393,50,0.14,0.07627387911081314,0.9424195206165313,-1.6500991535186769,0.8310635423660279,0.0,0.0,0.0,1.0
masked_token,memorization,4,2,center,64,3.0,0.0,0.0,0.08966985360023902,39,0.0,0.0054628669929045895,0.9424259112431452,-1.6500991582870483,0.8310923209557166,0.0,0.0,0.0,1.0
masked_token,generalization,4,2,center,64,3.0,0.0,0.0,0.10151790621961015,34,0.0,0.005562247051035657,0.9424087019527659,-1.6500992634717155,0.8312121577122632,0.0,0.0,0.0,1.0
masked_token,memorization,4,2,edge,64,3.0,0.0,0.0,0.10151790621961015,34,0.0,0.001869974219623734,0.9424218412707833,-1.650099186336293,0.8311094781931709,0.0,0.0,0.0,1.0
masked_token,generalization,4,2,edge,64,3.0,0.0,0.0,0.08762453925039232,40,0.0,0.0018597732298076153,0.942420843243599,-1.650099155306816,0.8311474308371544,0.0,0.0,0.0,1.0
masked_token,memorization,4,2,end,64,3.0,0.0,0.0,0.07865426194064076,45,0.0,0.043421854782435626,0.9424161182509528,-1.6500989198684692,0.8310504953066508,0.0,0.0,0.0,1.0
masked_token,generalization,4,2,end,64,3.0,0.0,0.0,0.09890426758938868,35,0.0,0.04342019451516015,0.9424087030547006,-1.6500990118299212,0.8310852272169931,0.0,0.0,0.0,1.0
next_token,memorization,4,,,64,10.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,52,0.19230769230769232,0.4163167690858245,0.01744029308275248,-1.0008043463413532,0.9999960488997973,0.0,0.0,0.0,0.0
next_token,generalization,4,,,64,10.0,0.04,0.011038652660826579,0.13460337877954667,50,0.12,0.2629096477478743,0.04975353313609958,-1.0029031753540039,0.9999553108215332,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,center,64,10.0,1.0,0.9324156955469233,1.0,53,0.05660377358490566,0.41024648777718814,0.018598078003258637,-1.0008834398017739,0.9999930656181192,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,center,64,10.0,0.0,0.0,0.07865426194064076,45,0.15555555555555556,0.16058080291582477,0.06313085324234433,-1.0038974814944797,0.9999276995658875,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,edge,64,10.0,1.0,0.9229238226702192,1.0,46,0.1956521739130435,0.41577123210805916,0.014977693203431756,-1.000667180704034,0.9999976961509042,0.0,0.0,0.0,0.0
