codebook,objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,bigram_accuracy,mean_gap,mean_entropy,mean_energy,metastable_rate
learned,masked_token,generalization,4,1,center,32,10.0,0.0,0.0,0.2425007574992425,0.5,0.34847626462578773,0.00870781442305694,-1.0003118813037872,0.0
learned,masked_token,memorization,4,1,center,32,10.0,1.0,0.7961107336956521,1.0,0.26666666666666666,0.35027579714854556,0.006085291194419066,-1.0002065340677897,0.0
learned,next_token,generalization,4,,,32,10.0,0.0,0.0,0.22810184305529166,0.15384615384615385,0.26673193447864973,0.00775880291341589,-1.0002724849260771,0.0
learned,next_token,memorization,4,,,32,10.0,1.0,0.7846829880728186,1.0,0.14285714285714285,0.3455162192029612,0.0057427778374403715,-1.0001922249794006,0.0
random,masked_token,generalization,4,1,center,32,10.0,0.0,0.0,0.2425007574992425,0.5,0.3354126488169034,0.008577810833230615,-1.000306357940038,0.0
random,masked_token,memorization,4,1,center,32,10.0,1.0,0.7961107336956521,1.0,0.26666666666666666,0.345596419274807,0.006025381541500489,-1.0002035220464072,0.0
random,next_token,generalization,4,,,32,10.0,0.0,0.0,0.22810184305529166,0.15384615384615385,0.27696241209140193,0.007291581016033888,-1.0002545393430269,0.0
random,next_token,memorization,4,,,32,10.0,1.0,0.7846829880728186,1.0,0.14285714285714285,0.3418027955506529,0.005741767685062119,-1.0001920461654663,0.0
