codebook,objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,bigram_accuracy,mean_gap,mean_entropy,mean_energy,metastable_rate
error_driven,masked_token,generalization,4,1,center,64,10.0,0.08888888888888889,0.035110548134203154,0.207338511683657,0.15555555555555556,0.18970570001337264,0.13973478625218075,-1.0090385993321738,0.0
error_driven,masked_token,generalization,4,1,center,64,30.0,0.06666666666666667,0.022931616462147076,0.17856874388640825,0.15555555555555556,0.16757426742050383,2.4354992287890633e-05,-1.000000278155009,0.0
error_driven,masked_token,generalization,4,1,center,256,10.0,0.06666666666666667,0.022931616462147076,0.17856874388640825,0.15555555555555556,0.016918040480878617,0.648581573035982,-1.0727380461162992,0.9111111111111111
error_driven,masked_token,generalization,4,1,center,256,30.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,0.15555555555555556,0.12560243374771543,0.0024519778300057422,-1.000067294968499,0.0
error_driven,masked_token,generalization,4,1,end,64,10.0,0.04,0.011038652660826579,0.13460337877954667,0.14,0.17521800130605697,0.1498482832312584,-1.0064774823188782,0.04
error_driven,masked_token,generalization,4,1,end,64,30.0,0.0,0.0,0.07135003417431873,0.14,0.17490832328796388,1.0691086416159123e-05,-1.000000114440918,0.0
error_driven,masked_token,generalization,4,1,end,256,10.0,0.04,0.011038652660826579,0.13460337877954667,0.14,0.022156961858272553,0.631372674703598,-1.0833881163597108,0.92
error_driven,masked_token,generalization,4,1,end,256,30.0,0.08,0.031549003255790686,0.18838502545063707,0.14,0.12755590066313743,0.012706055184215187,-1.002175097465515,0.0
error_driven,masked_token,generalization,8,1,center,64,10.0,0.03773584905660377,0.010410068833819272,0.12754523150959113,0.22641509433962265,0.0988539291440316,0.0622977132926572,-1.0033012875970804,0.0
error_driven,masked_token,generalization,8,1,center,64,30.0,0.018867924528301886,0.0033383673867494,0.09943143501149411,0.22641509433962265,0.10111541989839302,4.37366508142376e-07,-1.0,0.0
error_driven,masked_token,generalization,8,1,center,256,10.0,0.018867924528301886,0.0033383673867494,0.09943143501149411,0.22641509433962265,0.05729378881108648,0.29923550334741483,-0.9920008306233388,0.20754716981132076
error_driven,masked_token,generalization,8,1,center,256,30.0,0.018867924528301886,0.0033383673867494,0.09943143501149411,0.22641509433962265,0.0780527823130196,2.0020643938161753e-06,-1.000000020243087,0.0
error_driven,masked_token,generalization,8,1,end,64,10.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.07645175225016745,0.06036490295082331,-1.0031720318577506,0.0
error_driven,masked_token,generalization,8,1,end,64,30.0,0.022727272727272728,0.00402314838563701,0.11807979131537633,0.2727272727272727,0.09271016098897565,3.7093644132048875e-07,-1.0,0.0
error_driven,masked_token,generalization,8,1,end,256,10.0,0.11363636363636363,0.04952707589567494,0.23979435148133582,0.2727272727272727,0.07542495818978007,0.2975858836011453,-0.9899234771728516,0.2727272727272727
error_driven,masked_token,generalization,8,1,end,256,30.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.11197543211958626,1.2215843882304709e-06,-1.000000005418604,0.0
error_driven,masked_token,memorization,4,1,center,64,10.0,1.0,0.9324156955469233,1.0,0.05660377358490566,0.2024290643210681,0.09996758387336191,-1.0058730930652258,0.0
error_driven,masked_token,memorization,4,1,center,64,30.0,1.0,0.9324156955469233,1.0,0.05660377358490566,0.2055629384967516,1.3325559083179214e-05,-1.0000001506985359,0.0
error_driven,masked_token,memorization,4,1,center,256,10.0,0.44680851063829785,0.3141074747491131,0.5875478626124176,0.23404255319148937,0.09636946307851914,0.5002228332326767,-1.0672429571760462,0.6382978723404256
error_driven,masked_token,memorization,4,1,center,256,30.0,0.9787234042553191,0.8888676347566886,0.9962343289895351,0.23404255319148937,0.20334775080072118,0.00025728399499587825,-1.000005600300241,0.0
error_driven,masked_token,memorization,4,1,end,64,10.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,0.19230769230769232,0.20230788536942923,0.09875202759240682,-1.005755589558528,0.0
error_driven,masked_token,memorization,4,1,end,64,30.0,0.9807692307692307,0.8987925373197556,0.9965972795909344,0.19230769230769232,0.20673744982251754,8.750289721351288e-06,-1.0000000939919398,0.0
error_driven,masked_token,memorization,4,1,end,256,10.0,0.3333333333333333,0.21012280761972318,0.4844777298833309,0.16666666666666666,0.08632569458513033,0.4966992012092045,-1.0591214554650443,0.6190476190476191
error_driven,masked_token,memorization,4,1,end,256,30.0,0.9761904761904762,0.8767851883475175,0.9957847045008998,0.16666666666666666,0.20521303301765806,0.00048377978842393887,-1.000011798881349,0.0
error_driven,masked_token,memorization,8,1,center,64,10.0,1.0,0.9244398288016114,1.0,0.3404255319148936,0.14117585645711167,0.05382608971063127,-1.0027594540981537,0.0
error_driven,masked_token,memorization,8,1,center,64,30.0,1.0,0.9244398288016114,1.0,0.3404255319148936,0.14175483679517786,4.0516849743823666e-07,-1.0,0.0
error_driven,masked_token,memorization,8,1,center,256,10.0,1.0,0.9272997032640948,0.9999999999999998,0.32653061224489793,0.13848034794233283,0.13194904719688455,-1.0088298928980926,0.0
error_driven,masked_token,memorization,8,1,center,256,30.0,1.0,0.9272997032640948,0.9999999999999998,0.32653061224489793,0.1402100123921219,1.2023656289200317e-06,-1.0000000145970558,0.0
error_driven,masked_token,memorization,8,1,end,64,10.0,1.0,0.9179874299767727,1.0,0.13953488372093023,0.14348944155282753,0.050223075286593546,-1.0025423099828321,0.0
error_driven,masked_token,memorization,8,1,end,64,30.0,1.0,0.9179874299767727,1.0,0.13953488372093023,0.14404318914857023,3.1780838796800094e-07,-1.0,0.0
error_driven,masked_token,memorization,8,1,end,256,10.0,1.0,0.916198387490838,1.0,0.09523809523809523,0.1561686864921025,0.13191731965967587,-1.0088058369500297,0.0
error_driven,masked_token,memorization,8,1,end,256,30.0,1.0,0.916198387490838,1.0,0.09523809523809523,0.15813600236461275,6.914954102231804e-07,-1.000000005676633,0.0
error_driven,next_token,generalization,4,,,64,10.0,0.02,0.0035391680889764613,0.10495686471836953,0.12,0.17386606425046922,0.1588651306927204,-1.004855901002884,0.06
error_driven,next_token,generalization,4,,,64,30.0,0.0,0.0,0.07135003417431873,0.12,0.17280228659510613,1.0083845302517602e-05,-1.0000001072883606,0.0
error_driven,next_token,generalization,4,,,256,10.0,0.04,0.011038652660826579,0.13460337877954667,0.12,0.030964122116565705,0.6223635351657868,-1.0766144561767579,0.9
error_driven,next_token,generalization,4,,,256,30.0,0.04,0.011038652660826579,0.13460337877954667,0.12,0.14096384078264237,0.001085197452219404,-1.0000290226936341,0.0
error_driven,next_token,generalization,8,,,64,10.0,0.0,6.381712396155606e-18,0.08029831778201396,0.2727272727272727,0.0729931832545183,0.060255111872472546,-1.003167843276804,0.0
error_driven,next_token,generalization,8,,,64,30.0,0.022727272727272728,0.00402314838563701,0.11807979131537633,0.2727272727272727,0.09300316827879711,3.617953913832976e-07,-1.0,0.0
error_driven,next_token,generalization,8,,,256,10.0,0.11363636363636363,0.04952707589567494,0.23979435148133582,0.2727272727272727,0.07108537361703136,0.27050380781292915,-0.9945149543610486,0.20454545454545456
