label,seed,target_token,target_bucket,target_rank,settled_synergy_at_mask
random,17,2,q1_most_frequent,0,0.046802
random,17,2,q1_most_frequent,0,0.046720
random,17,7,q1_most_frequent,461,-0.005404
random,17,1567,q1_most_frequent,469,0.019194
random,17,1778,q1_most_frequent,1686,-0.016284
random,17,4,q1_most_frequent,15,0.029370
random,17,528,q1_most_frequent,742,-0.008494
random,17,3,q1_most_frequent,75,0.016670
random,17,1869,q1_most_frequent,132,0.011393
random,17,73,q1_most_frequent,1635,-0.030445
random,17,2,q1_most_frequent,0,0.047037
random,17,297,q1_most_frequent,1933,-0.015857
random,17,75,q1_most_frequent,640,-0.002360
random,17,4,q1_most_frequent,14,0.029746
random,17,719,q1_most_frequent,1993,-0.027837
random,17,2,q1_most_frequent,0,0.046531
random,17,55,q1_most_frequent,51,0.031137
random,17,549,q1_most_frequent,1344,-0.038229
random,17,20,q1_most_frequent,554,0.002028
random,17,585,q1_most_frequent,1320,-0.019510
random,17,15,q1_most_frequent,658,-0.004431
random,17,30,q1_most_frequent,1618,-0.019575
random,17,2,q1_most_frequent,0,0.047175
random,17,54,q1_most_frequent,1986,-0.040017
random,17,646,q1_most_frequent,714,0.001682
random,17,3,q1_most_frequent,75,0.016722
random,17,489,q1_most_frequent,743,0.006109
random,17,409,q1_most_frequent,518,0.008512
random,17,99,q1_most_frequent,766,-0.015518
random,17,1810,q1_most_frequent,695,-0.003908
random,17,236,q1_most_frequent,225,-0.000599
random,17,151,q1_most_frequent,399,-0.009183
random,17,896,q1_most_frequent,2003,-0.021020
random,17,498,q1_most_frequent,1365,-0.009276
random,17,139,q1_most_frequent,816,0.012917
random,17,210,q1_most_frequent,821,-0.011225
random,17,4,q1_most_frequent,15,0.029386
random,17,7,q1_most_frequent,461,-0.005397
random,17,11,q1_most_frequent,1802,-0.032510
random,17,44,q1_most_frequent,313,0.006880
random,17,11,q1_most_frequent,1807,-0.032709
random,17,1235,q1_most_frequent,1913,-0.017422
random,17,46,q1_most_frequent,1943,-0.011642
random,17,2,q1_most_frequent,0,0.046851
random,17,1101,q1_most_frequent,1512,-0.024228
random,17,929,q1_most_frequent,1704,-0.009175
random,17,3,q1_most_frequent,76,0.016575
random,17,38,q1_most_frequent,1874,-0.033681
random,17,363,q1_most_frequent,1370,-0.009339
random,17,16,q1_most_frequent,1001,-0.007166
random,17,73,q1_most_frequent,1614,-0.030087
random,17,593,q1_most_frequent,389,0.016446
random,17,2,q1_most_frequent,0,0.046806
random,17,26,q1_most_frequent,1971,-0.018560
random,17,17,q1_most_frequent,662,-0.006986
random,17,641,q1_most_frequent,1540,-0.016494
random,17,2,q1_most_frequent,0,0.046915
random,17,3,q1_most_frequent,78,0.016719
random,17,99,q1_most_frequent,766,-0.015312
random,17,402,q1_most_frequent,353,0.004640
random,17,6,q1_most_frequent,441,-0.001763
random,17,219,q1_most_frequent,268,-0.002197
random,17,74,q1_most_frequent,1707,-0.007548
random,17,7,q1_most_frequent,462,-0.005409
random,17,2,q1_most_frequent,0,0.047094
random,17,477,q1_most_frequent,1933,-0.020656
random,17,52,q1_most_frequent,1206,-0.017089
random,17,18,q1_most_frequent,100,0.025534
random,17,29,q1_most_frequent,1272,-0.012940
random,17,635,q1_most_frequent,970,-0.012133
random,17,635,q1_most_frequent,969,-0.012124
random,17,5,q1_most_frequent,974,-0.001180
random,17,648,q1_most_frequent,634,0.000906
random,17,12,q1_most_frequent,1721,-0.017538
random,17,64,q1_most_frequent,1360,-0.017630
random,17,4,q1_most_frequent,14,0.029572
random,17,145,q1_most_frequent,1427,-0.009211
random,17,2,q1_most_frequent,0,0.047156
random,17,1436,q1_most_frequent,1467,-0.012228
random,17,40,q1_most_frequent,476,0.002337
random,17,104,q1_most_frequent,670,0.031336
random,17,3,q1_most_frequent,75,0.016713
random,17,1155,q1_most_frequent,785,0.006552
random,17,15,q1_most_frequent,655,-0.004310
random,17,6,q1_most_frequent,439,-0.001371
random,17,2,q1_most_frequent,0,0.046925
random,17,2,q1_most_frequent,0,0.046765
random,17,2,q1_most_frequent,0,0.046703
random,17,7,q1_most_frequent,459,-0.005339
random,17,121,q1_most_frequent,1797,-0.015039
random,17,372,q1_most_frequent,1052,-0.003584
random,17,173,q1_most_frequent,492,0.012302
random,17,2,q1_most_frequent,0,0.046681
random,17,1130,q1_most_frequent,1728,-0.013354
random,17,735,q1_most_frequent,1755,-0.022790
random,17,5,q1_most_frequent,984,-0.001303
random,17,713,q1_most_frequent,371,0.014419
random,17,114,q1_most_frequent,785,-0.020253
random,17,132,q1_most_frequent,27,0.011456
random,17,14,q1_most_frequent,163,0.013511
random,17,162,q1_most_frequent,235,0.008350
random,17,375,q1_most_frequent,672,-0.009531
random,17,2,q1_most_frequent,0,0.046968
random,17,581,q1_most_frequent,798,-0.017740
random,17,164,q1_most_frequent,507,-0.001738
random,17,1188,q1_most_frequent,1748,-0.007251
random,17,2,q1_most_frequent,0,0.047148
random,17,1500,q1_most_frequent,849,-0.014837
random,17,16,q1_most_frequent,1007,-0.007232
random,17,28,q1_most_frequent,334,0.004382
random,17,11,q1_most_frequent,1807,-0.032755
random,17,12,q1_most_frequent,1721,-0.017582
random,17,179,q1_most_frequent,1150,0.003295
random,17,11,q1_most_frequent,1801,-0.032503
random,17,2,q1_most_frequent,0,0.046831
random,17,2,q1_most_frequent,0,0.046692
random,17,2,q1_most_frequent,0,0.047231
random,17,21,q1_most_frequent,812,0.003543
random,17,15,q1_most_frequent,659,-0.004469
random,17,17,q1_most_frequent,660,-0.006972
random,17,88,q1_most_frequent,2031,-0.042727
random,17,112,q1_most_frequent,770,-0.017060
random,17,8,q1_most_frequent,1243,-0.000859
random,17,63,q1_most_frequent,1482,-0.022700
random,17,63,q1_most_frequent,1479,-0.022694
random,17,63,q1_most_frequent,1480,-0.022701
random,17,27,q1_most_frequent,1682,-0.019726
random,17,173,q1_most_frequent,507,0.012049
random,17,158,q1_most_frequent,1738,-0.001224
random,17,82,q1_most_frequent,261,0.003297
random,17,119,q1_most_frequent,1265,-0.014926
