content_mode,temporal_mode,temporal_beta,top_label,recall_at_4,final_top_weight,final_entropy,iterations,converged,regime
noisy_stair,single_neighbor,1,stair,1.0,0.4070372486336941,0.4988938035521827,4,True,ambiguous_correct
noisy_stair,single_neighbor,2,stair,1.0,0.7331961392979702,0.31681976772632986,6,True,ambiguous_correct
noisy_stair,single_neighbor,4,stair,1.0,0.9564877418359206,0.07983886893292436,4,True,committed
noisy_stair,single_neighbor,8,stair,1.0,0.9991444218256338,0.002698146103822299,3,True,committed
noisy_stair,single_neighbor,16,stair,1.0,0.999999678439638,1.8603158273096974e-06,3,True,committed
noisy_stair,single_neighbor,32,stair,1.0,0.999999999999954,5.069876232691047e-13,2,True,committed
noisy_stair,single_neighbor,64,stair,1.0,1.0,2.059899146787764e-26,2,True,committed
noisy_stair,single_neighbor,100,stair,1.0,1.0,1.39410619356862e-41,2,True,committed
noisy_stair,neighbor_plus_noise,0.5,stair,0.25,0.3201497968177304,0.5227858093362118,4,True,ambiguous_low_recall
noisy_stair,neighbor_plus_noise,1,stair,0.75,0.36289403869364034,0.5118653202330301,4,True,ambiguous_correct
noisy_stair,neighbor_plus_noise,2,stair,1.0,0.7273913841678215,0.32144212865925403,7,True,ambiguous_correct
noisy_stair,neighbor_plus_noise,4,stair,1.0,0.9553769944750937,0.0814996246726577,5,True,committed
noisy_stair,neighbor_plus_noise,8,stair,1.0,0.9991035204233182,0.0028134880213426068,3,True,committed
noisy_stair,neighbor_plus_noise,16,stair,1.0,0.9999996479889601,2.026210281772813e-06,3,True,committed
noisy_stair,neighbor_plus_noise,32,stair,1.0,0.9999999999999452,6.025877910834976e-13,3,True,committed
noisy_stair,neighbor_plus_noise,64,stair,1.0,1.0,2.8905357932746633e-26,2,True,committed
noisy_stair,neighbor_plus_noise,100,stair,1.0,1.0,2.325811404865278e-41,2,True,committed
noisy_stair,wrong_pair,0.5,stair,0.25,0.3130249885083789,0.5243136587212575,4,True,ambiguous_low_recall
noisy_stair,wrong_pair,1,stair,0.5,0.32955519194634564,0.5201806937227872,5,True,ambiguous_low_recall
noisy_stair,wrong_pair,2,stair,1.0,0.7177636410220171,0.3288352420683157,11,True,ambiguous_correct
noisy_stair,wrong_pair,4,ladder,0.0,0.8920665790740024,0.16290704897131383,6,True,flipped
noisy_stair,wrong_pair,8,ladder,0.0,0.9971752653700272,0.007676221980631791,4,True,flipped
noisy_stair,wrong_pair,16,ladder,0.0,0.9999976696006299,1.1549312772923662e-05,3,True,flipped
noisy_stair,wrong_pair,32,ladder,0.0,0.9999999999967679,2.9826090440187446e-11,2,True,flipped
noisy_stair,wrong_pair,64,ladder,0.0,1.0,1.901394180280944e-22,2,True,flipped
noisy_stair,wrong_pair,100,ladder,0.0,1.0,3.790762592816157e-35,2,True,flipped
noisy_stair,noise_only,0.5,stair,0.25,0.31146501663033554,0.5245027597715208,4,True,ambiguous_low_recall
noisy_stair,noise_only,1,stair,0.25,0.318585927518761,0.5217040503726306,5,True,ambiguous_low_recall
noisy_stair,noise_only,2,step,0.0,0.42855111310150845,0.4834224063649948,12,False,flipped
noisy_stair,noise_only,4,step,0.0,0.793117645455218,0.25081958001124455,8,True,flipped
noisy_stair,noise_only,8,step,0.0,0.980162729066842,0.038195484756986954,6,True,flipped
noisy_stair,noise_only,16,step,0.0,0.9998012816650543,0.0006780892035438698,5,True,flipped
noisy_stair,noise_only,32,ramp,0.0,0.9999999910420173,5.841537663780007e-08,3,True,flipped
noisy_stair,noise_only,64,ramp,0.0,1.0,8.096168329306294e-16,3,True,flipped
noisy_stair,noise_only,100,ramp,0.0,1.0,8.92576964775633e-25,3,True,flipped
family_blend,exact_pair,0.5,ramp,0.0,0.231002429478441,0.5347201366213761,5,True,flipped
family_blend,exact_pair,1,ramp,0.0,0.25001939343606844,0.5331239663036471,8,True,flipped
family_blend,exact_pair,2,stair,1.0,0.6000404560436053,0.4085286499628797,9,True,ambiguous_correct
family_blend,exact_pair,4,stair,1.0,0.9318470350441195,0.11438455158147043,4,True,committed
family_blend,exact_pair,8,stair,1.0,0.9986487516183262,0.004050435206956623,3,True,committed
family_blend,exact_pair,16,stair,1.0,0.9999994923091489,2.8571235024392493e-06,2,True,committed
family_blend,exact_pair,32,stair,1.0,0.9999999999999278,7.848716692389482e-13,2,True,committed
family_blend,exact_pair,64,stair,1.0,1.0,3.169767302451719e-26,2,True,committed
family_blend,exact_pair,100,stair,1.0,1.0,2.1175283659315038e-41,2,True,committed
family_blend,single_neighbor,0.5,ramp,0.0,0.2327241792950371,0.5347414402561032,5,True,flipped
family_blend,single_neighbor,1,ramp,0.0,0.2551088762071876,0.5327327960962284,7,True,flipped
family_blend,single_neighbor,2,ramp,0.0,0.4076432085775518,0.4867240163470187,12,False,flipped
family_blend,single_neighbor,4,stair,1.0,0.9315976738270997,0.11470836627939576,5,True,committed
family_blend,single_neighbor,8,stair,1.0,0.9986385876277325,0.004077128099056143,3,True,committed
family_blend,single_neighbor,16,stair,1.0,0.9999994850446722,2.895229255938597e-06,3,True,committed
family_blend,single_neighbor,32,stair,1.0,0.9999999999999256,8.094799377769755e-13,2,True,committed
family_blend,single_neighbor,64,stair,1.0,1.0,3.3863091360695476e-26,2,True,committed
family_blend,single_neighbor,100,stair,1.0,1.0,2.3444048802724684e-41,2,True,committed
family_blend,neighbor_plus_noise,0.5,ramp,0.0,0.23247585733052764,0.5348106522996998,5,True,flipped
family_blend,neighbor_plus_noise,1,ramp,0.0,0.25478400628231,0.5328522925716556,7,True,flipped
family_blend,neighbor_plus_noise,2,ramp,0.0,0.44017311106182067,0.4771080146059092,12,False,flipped
family_blend,neighbor_plus_noise,4,stair,1.0,0.9302502707804479,0.11652957205445502,5,True,committed
family_blend,neighbor_plus_noise,8,stair,1.0,0.9985854458734403,0.004218785635208134,3,True,committed
family_blend,neighbor_plus_noise,16,stair,1.0,0.9999994421494508,3.1211835336169633e-06,3,True,committed
family_blend,neighbor_plus_noise,32,stair,1.0,0.999999999999911,9.618496838424456e-13,2,True,committed
family_blend,neighbor_plus_noise,64,stair,1.0,1.0,5.0903719589766543e-26,2,True,committed
family_blend,neighbor_plus_noise,100,stair,1.0,1.0,4.790468079489147e-41,2,True,committed
family_blend,wrong_pair,0.5,ramp,0.0,0.23199922719854207,0.5347704153220992,5,True,flipped
family_blend,wrong_pair,1,ramp,0.0,0.2548551369570023,0.5324513439001138,7,True,flipped
family_blend,wrong_pair,2,ramp,0.0,0.4600975860785079,0.46925309269343174,12,False,flipped
family_blend,wrong_pair,4,ladder,0.0,0.9134238294357785,0.1360158030614569,5,True,flipped
family_blend,wrong_pair,8,ladder,0.0,0.9975810500363952,0.006593065379320124,4,True,flipped
family_blend,wrong_pair,16,ladder,0.0,0.9999976933014252,1.1277225764431271e-05,3,True,flipped
family_blend,wrong_pair,32,ladder,0.0,0.9999999999964175,3.285531296125983e-11,2,True,flipped
family_blend,wrong_pair,64,ladder,0.0,1.0,2.1365097013278224e-22,2,True,flipped
family_blend,wrong_pair,100,ladder,0.0,1.0,4.263765872244054e-35,2,True,flipped
